experience_hash,symbol,date,signal_time,timeframe,setup_type,side,entry,sl,target,outcome,outcome_reason,pnl_points,rr,score,confidence,trend,regime,volume_score,strength_score,compression_score,reason,lesson_learned,source_type,trust_level,validation_status,native_trade_import,live_mutation,broker_mutation,telegram_mutation
d79786f0a91ace5a29345c79c6f6e9a791923719b86d06c31670810059c57be7,SUNPHARMA,2019-01-14,2019-01-14T14:20:00+00:00,15m,trend_momentum_breakout,SHORT,1676.7,1681.0,1668.2,WIN,Target touched at 2019-01-14T15:20:00+00:00; trend_momentum_breakout had continuation follow-through in BEARISH regime for SHORT side.,8.5,2.0,65.59,65.82,BEARISH,BEARISH,3.77,-2.15,1.61,"trend_momentum_breakout simulated external historical experience for SUNPHARMA: trend=BEARISH, regime=BEARISH, side=SHORT, volume_score=3.77, strength_score=-2.15, compression_score=1.61, score=65.59. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","trend_momentum_breakout on SUNPHARMA worked for SHORT trades in BEARISH conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=65.59, confidence=65.82. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
0030b9840d7ee65298c6fcd6ef89daad86ffbbcaea7d3344a34b309d4392edf0,ULTRACEMCO,2019-01-15,2019-01-15T14:20:00+00:00,1h,compression_breakout_attempt,LONG,8778.8,8729.9,8876.7,LOSS,"Stop loss touched at 2019-01-15T14:50:00+00:00; compression_breakout_attempt failed due to weak follow-through, possible trap behavior, or volatility reversal in LOW_VOLATILITY_COMPRESSION regime.",-48.9,-1.0,69.34,75.16,BULLISH,LOW_VOLATILITY_COMPRESSION,2.51,-1.93,6.93,"compression_breakout_attempt simulated external historical experience for ULTRACEMCO: trend=BULLISH, regime=LOW_VOLATILITY_COMPRESSION, side=LONG, volume_score=2.51, strength_score=-1.93, compression_score=6.93, score=69.34. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","compression_breakout_attempt on ULTRACEMCO failed for LONG trades in LOW_VOLATILITY_COMPRESSION conditions. TITAN should watch for trap risk, poor confirmation, volatility reversal, or weak continuation before trusting this setup again. Score=69.34, confidence=75.16. Preserve as simulated weakness evidence until validated.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
f934eb00fd73fd2aa1d189e6f713cbc0f5a30996e78d917e455ddc949fe1bdea,HDFCBANK,2019-01-17,2019-01-17T10:05:00+00:00,5m,trend_momentum_breakout,SHORT,1661.2,1666.9,1649.9,WIN,Target touched at 2019-01-17T10:35:00+00:00; trend_momentum_breakout had continuation follow-through in HIGH_VOLATILITY regime for SHORT side.,11.3,2.0,82.18,82.99,BULLISH,HIGH_VOLATILITY,1.97,-1.0,9.31,"trend_momentum_breakout simulated external historical experience for HDFCBANK: trend=BULLISH, regime=HIGH_VOLATILITY, side=SHORT, volume_score=1.97, strength_score=-1.0, compression_score=9.31, score=82.18. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","trend_momentum_breakout on HDFCBANK worked for SHORT trades in HIGH_VOLATILITY conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=82.18, confidence=82.99. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
780222362481971d45b86656814aad57ba0c8e241a11c33636bedee46b7df88a,HCLTECH,2019-01-18,2019-01-18T11:20:00+00:00,5m,trend_momentum_breakout,SHORT,1433.6,1445.2,1410.3,WIN,Target touched at 2019-01-18T12:20:00+00:00; trend_momentum_breakout had continuation follow-through in BULLISH regime for SHORT side.,23.3,2.0,81.12,85.68,BEARISH,BULLISH,4.59,-1.51,1.02,"trend_momentum_breakout simulated external historical experience for HCLTECH: trend=BEARISH, regime=BULLISH, side=SHORT, volume_score=4.59, strength_score=-1.51, compression_score=1.02, score=81.12. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","trend_momentum_breakout on HCLTECH worked for SHORT trades in BULLISH conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=81.12, confidence=85.68. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
407ca5cdcfdf2f87592431df08cb6950cc19f7e983c65091d7194f72d58bc3e1,MARUTI,2019-01-21,2019-01-21T10:05:00+00:00,5m,relative_strength_breakout,LONG,13389.6,13308.9,13550.9,WIN,Target touched at 2019-01-21T12:05:00+00:00; relative_strength_breakout had continuation follow-through in HIGH_VOLATILITY regime for LONG side.,161.3,2.0,93.83,86.74,MIXED,HIGH_VOLATILITY,2.12,-2.2,5.29,"relative_strength_breakout simulated external historical experience for MARUTI: trend=MIXED, regime=HIGH_VOLATILITY, side=LONG, volume_score=2.12, strength_score=-2.2, compression_score=5.29, score=93.83. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","relative_strength_breakout on MARUTI worked for LONG trades in HIGH_VOLATILITY conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=93.83, confidence=86.74. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
bc983cd50dfeb68143bc5d911a90a939d7506c61392149d4525354c17d7970c9,INFY,2019-01-21,2019-01-21T11:20:00+00:00,1h,compression_breakout_attempt,LONG,1906.7,1894.9,1930.4,WIN,Target touched at 2019-01-21T12:20:00+00:00; compression_breakout_attempt had continuation follow-through in BULLISH regime for LONG side.,23.7,2.0,86.24,83.3,BULLISH,BULLISH,3.23,-2.26,1.74,"compression_breakout_attempt simulated external historical experience for INFY: trend=BULLISH, regime=BULLISH, side=LONG, volume_score=3.23, strength_score=-2.26, compression_score=1.74, score=86.24. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","compression_breakout_attempt on INFY worked for LONG trades in BULLISH conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=86.24, confidence=83.3. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
2f75ae84c4c08b6bedeba470aefc98bc062cba17d63f67e88cecb964778fa467,ITC,2019-01-22,2019-01-22T10:20:00+00:00,5m,reversal_trap,SHORT,413.5,416.6,407.4,LOSS,"Stop loss touched at 2019-01-22T11:20:00+00:00; reversal_trap failed due to weak follow-through, possible trap behavior, or volatility reversal in BEARISH regime.",-3.1,-1.0,91.3,86.71,BEARISH,BEARISH,1.1,0.25,9.99,"reversal_trap simulated external historical experience for ITC: trend=BEARISH, regime=BEARISH, side=SHORT, volume_score=1.1, strength_score=0.25, compression_score=9.99, score=91.3. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","reversal_trap on ITC failed for SHORT trades in BEARISH conditions. TITAN should watch for trap risk, poor confirmation, volatility reversal, or weak continuation before trusting this setup again. Score=91.3, confidence=86.71. Preserve as simulated weakness evidence until validated.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
ade71aa899d1e8d0fde50c30509d9514877ef722ad21647cf86eb4b1f7257ec0,ICICIBANK,2019-01-24,2019-01-24T09:50:00+00:00,15m,reversal_trap,SHORT,1375.3,1385.0,1355.8,WIN,Target touched at 2019-01-24T12:50:00+00:00; reversal_trap had continuation follow-through in BULLISH regime for SHORT side.,19.5,2.0,68.77,65.56,BEARISH,BULLISH,3.37,3.42,6.89,"reversal_trap simulated external historical experience for ICICIBANK: trend=BEARISH, regime=BULLISH, side=SHORT, volume_score=3.37, strength_score=3.42, compression_score=6.89, score=68.77. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","reversal_trap on ICICIBANK worked for SHORT trades in BULLISH conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=68.77, confidence=65.56. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
f55e37a76a85c640123e9b4c8f84349f22e23270463fd0a11387fb125d02a44c,HDFCBANK,2019-01-28,2019-01-28T13:20:00+00:00,5m,compression_breakout_attempt,LONG,1415.8,1406.7,1434.0,BREAKEVEN,Neither target nor stop loss showed decisive control by 2019-01-28T17:20:00+00:00; treated as breakeven/inconclusive simulated experience.,0.0,0.0,76.66,83.15,MIXED,SIDEWAYS,1.66,1.31,3.38,"compression_breakout_attempt simulated external historical experience for HDFCBANK: trend=MIXED, regime=SIDEWAYS, side=LONG, volume_score=1.66, strength_score=1.31, compression_score=3.38, score=76.66. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","compression_breakout_attempt on HDFCBANK was inconclusive for LONG trades in SIDEWAYS conditions. TITAN should avoid over-learning from this record and mark it as low-confidence contextual evidence. Score=76.66, confidence=83.15.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
b59830e47adbc6fc63c51c87a733c8c2157e87f63e4309c94925cd4630d524ad,TCS,2019-01-28,2019-01-28T10:50:00+00:00,5m,trend_momentum_breakout,SHORT,4415.8,4434.4,4378.7,WIN,Target touched at 2019-01-28T11:35:00+00:00; trend_momentum_breakout had continuation follow-through in HIGH_VOLATILITY regime for SHORT side.,37.1,2.0,72.92,75.98,MIXED,HIGH_VOLATILITY,2.66,1.73,6.05,"trend_momentum_breakout simulated external historical experience for TCS: trend=MIXED, regime=HIGH_VOLATILITY, side=SHORT, volume_score=2.66, strength_score=1.73, compression_score=6.05, score=72.92. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","trend_momentum_breakout on TCS worked for SHORT trades in HIGH_VOLATILITY conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=72.92, confidence=75.98. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
6b8fa20fd95316ebe0c09198ca340524e126ffe5fd4f0d01e1b1ee1fe4b131a2,HCLTECH,2019-01-28,2019-01-28T09:20:00+00:00,15m,trend_momentum_breakout,LONG,1336.9,1325.4,1359.8,WIN,Target touched at 2019-01-28T10:50:00+00:00; trend_momentum_breakout had continuation follow-through in SIDEWAYS regime for LONG side.,22.9,2.0,71.32,77.47,SIDEWAYS,SIDEWAYS,4.58,-1.24,3.25,"trend_momentum_breakout simulated external historical experience for HCLTECH: trend=SIDEWAYS, regime=SIDEWAYS, side=LONG, volume_score=4.58, strength_score=-1.24, compression_score=3.25, score=71.32. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","trend_momentum_breakout on HCLTECH worked for LONG trades in SIDEWAYS conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=71.32, confidence=77.47. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
1eeb0acc98e431b024382b93c00baee0e59709546849cf134f26fb27f8f26dd5,ADANIPORTS,2019-01-29,2019-01-29T09:20:00+00:00,5m,compression_breakout_attempt,LONG,1573.4,1566.1,1588.1,LOSS,"Stop loss touched at 2019-01-29T09:50:00+00:00; compression_breakout_attempt failed due to weak follow-through, possible trap behavior, or volatility reversal in BEARISH regime.",-7.3,-1.0,84.19,88.79,BULLISH,BEARISH,4.71,2.31,8.78,"compression_breakout_attempt simulated external historical experience for ADANIPORTS: trend=BULLISH, regime=BEARISH, side=LONG, volume_score=4.71, strength_score=2.31, compression_score=8.78, score=84.19. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","compression_breakout_attempt on ADANIPORTS failed for LONG trades in BEARISH conditions. TITAN should watch for trap risk, poor confirmation, volatility reversal, or weak continuation before trusting this setup again. Score=84.19, confidence=88.79. Preserve as simulated weakness evidence until validated.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
b92179cdc3829d65d40e049119c031204d4ce723a215b61c624908f448b95706,BHARTIARTL,2019-01-30,2019-01-30T10:50:00+00:00,5m,trend_momentum_breakout,LONG,1677.1,1663.4,1704.5,LOSS,"Stop loss touched at 2019-01-30T13:50:00+00:00; trend_momentum_breakout failed due to weak follow-through, possible trap behavior, or volatility reversal in HIGH_VOLATILITY regime.",-13.7,-1.0,80.2,76.67,BULLISH,HIGH_VOLATILITY,0.9,-1.34,3.95,"trend_momentum_breakout simulated external historical experience for BHARTIARTL: trend=BULLISH, regime=HIGH_VOLATILITY, side=LONG, volume_score=0.9, strength_score=-1.34, compression_score=3.95, score=80.2. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","trend_momentum_breakout on BHARTIARTL failed for LONG trades in HIGH_VOLATILITY conditions. TITAN should watch for trap risk, poor confirmation, volatility reversal, or weak continuation before trusting this setup again. Score=80.2, confidence=76.67. Preserve as simulated weakness evidence until validated.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
6d6b3d13c97453250315f5117bf0e637956b7ce4ca2479e21260da4f4b46feb1,BAJFINANCE,2019-01-31,2019-01-31T10:20:00+00:00,5m,trend_continuation,SHORT,7798.3,7867.7,7659.6,WIN,Target touched at 2019-01-31T10:50:00+00:00; trend_continuation had continuation follow-through in LOW_VOLATILITY_COMPRESSION regime for SHORT side.,138.7,2.0,89.08,96.83,BEARISH,LOW_VOLATILITY_COMPRESSION,0.96,1.08,4.11,"trend_continuation simulated external historical experience for BAJFINANCE: trend=BEARISH, regime=LOW_VOLATILITY_COMPRESSION, side=SHORT, volume_score=0.96, strength_score=1.08, compression_score=4.11, score=89.08. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","trend_continuation on BAJFINANCE worked for SHORT trades in LOW_VOLATILITY_COMPRESSION conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=89.08, confidence=96.83. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
3703bc25180ba8a946250a109311f7948e09521dcf032975242fd4be9fd8f593,BHARTIARTL,2019-02-01,2019-02-01T09:20:00+00:00,1h,relative_strength_breakout,SHORT,1307.5,1311.4,1299.8,LOSS,"Stop loss touched at 2019-02-01T10:20:00+00:00; relative_strength_breakout failed due to weak follow-through, possible trap behavior, or volatility reversal in BEARISH regime.",-3.9,-1.0,81.68,78.49,BEARISH,BEARISH,3.59,-0.52,3.83,"relative_strength_breakout simulated external historical experience for BHARTIARTL: trend=BEARISH, regime=BEARISH, side=SHORT, volume_score=3.59, strength_score=-0.52, compression_score=3.83, score=81.68. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","relative_strength_breakout on BHARTIARTL failed for SHORT trades in BEARISH conditions. TITAN should watch for trap risk, poor confirmation, volatility reversal, or weak continuation before trusting this setup again. Score=81.68, confidence=78.49. Preserve as simulated weakness evidence until validated.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
4b765bb087a3acba449fe616a58893b7caa78878ce3b7fa07166819167557ef3,MARUTI,2019-02-04,2019-02-04T10:05:00+00:00,1h,reversal_trap,SHORT,14017.3,14086.9,13878.1,WIN,Target touched at 2019-02-04T11:35:00+00:00; reversal_trap had continuation follow-through in HIGH_VOLATILITY regime for SHORT side.,139.2,2.0,78.44,75.03,MIXED,HIGH_VOLATILITY,4.59,1.19,3.71,"reversal_trap simulated external historical experience for MARUTI: trend=MIXED, regime=HIGH_VOLATILITY, side=SHORT, volume_score=4.59, strength_score=1.19, compression_score=3.71, score=78.44. Setup was evaluated using trend alignment, momentum quality, structure, volatility state, and 1:2 risk-reward behavior.","reversal_trap on MARUTI worked for SHORT trades in HIGH_VOLATILITY conditions. TITAN should increase simulated confidence only when similar structure, momentum, volume, and regime alignment repeat. Score=78.44, confidence=75.03. Preserve as simulated evidence until validated by live/paper outcomes.",HISTORICAL_SIMULATED,BACKTEST_SIMULATED,UNVALIDATED,False,False,False,False
